% Model,AuNP-7-30nm-inc.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 16 2024, 13:54"
% Dimension,3
% Nodes,36330
% Expressions,1
% Description,Multislice
% X,Y,Z,Electric field norm
0,-310.2875,-310.2875,7.986850918345598E-9
0,-310.2875,-302.07265625,2.4462232195304263E-8
0,-302.07265625,-302.07265625,3.725991234302757E-8
0,-302.07265625,-310.2875,2.8887718801482503E-8
0,-293.85781249999997,-302.07265625,5.844268245774634E-8
0,-293.85781249999997,-310.2875,5.242427064451501E-8
0,-310.2875,-293.85781249999997,4.169213808842289E-8
0,-302.07265625,-293.85781249999997,5.113934103514491E-8
0,-293.85781249999997,-293.85781249999997,7.10321149952029E-8
0,-285.64296874999997,-302.07265625,8.312612108574475E-8
0,-285.64296874999997,-310.2875,7.600420802418897E-8
0,-277.428125,-302.07265625,1.1023680302574964E-7
0,-277.428125,-310.2875,1.0031284361448649E-7
0,-285.64296874999997,-293.85781249999997,9.941017062056057E-8
0,-277.428125,-293.85781249999997,1.333331636145399E-7
0,-310.2875,-285.64296874999997,5.663171207062429E-8
0,-302.07265625,-285.64296874999997,6.665071629728396E-8
0,-293.85781249999997,-285.64296874999997,9.014415831002644E-8
0,-310.2875,-277.428125,6.868176153303197E-8
0,-302.07265625,-277.428125,8.174921166871286E-8
0,-293.85781249999997,-277.428125,1.1305464463923694E-7
0,-269.21328125,-302.07265625,1.4308614091381818E-7
0,-269.21328125,-310.2875,1.2681656616418072E-7
0,-260.99843749999997,-302.07265625,1.820445140632287E-7
0,-260.99843749999997,-310.2875,1.5700123488819496E-7
0,-269.21328125,-293.85781249999997,1.793419849881536E-7
0,-260.99843749999997,-293.85781249999997,2.354026684075702E-7
0,-285.64296874999997,-285.64296874999997,1.269086261137156E-7
0,-277.428125,-285.64296874999997,1.7320995287010307E-7
0,-285.64296874999997,-277.428125,1.6214335516620643E-7
0,-277.428125,-277.428125,2.250324955279075E-7
0,-310.2875,-269.21328125,7.783181282928611E-8
-8.881784197001254E-16,-302.07265625,-269.21328125,9.698340107602265E-8
-1.776356839400251E-15,-293.85781249999997,-269.21328125,1.4105270595257998E-7
0,-310.2875,-260.99843749999997,8.450926815060907E-8
-1.776356839400251E-15,-302.07265625,-260.99843749999997,1.133721677644786E-7
-3.552713678800502E-15,-293.85781249999997,-260.99843749999997,1.7528901340583913E-7
0,-252.78359375000002,-302.07265625,2.3149402330485838E-7
0,-252.78359375000002,-310.2875,1.9183686159186618E-7
0,-244.56875000000002,-302.07265625,2.8933018237403597E-7
0,-244.56875000000002,-310.2875,2.3115375455813938E-7
0,-252.78359375000002,-293.85781249999997,3.117897715197041E-7
0,-244.56875000000002,-293.85781249999997,4.0239670466973933E-7
0,-269.21328125,-285.64296874999997,2.393354870763177E-7
0,-260.99843749999997,-285.64296874999997,3.21742417488627E-7
0,-269.21328125,-277.428125,3.1595810839848765E-7
0,-260.99843749999997,-277.428125,4.304811355347374E-7
-2.664535259100376E-15,-285.64296874999997,-269.21328125,2.0750926344981384E-7
-3.552713678800502E-15,-277.428125,-269.21328125,2.9325807075488085E-7
-5.329070518200752E-15,-285.64296874999997,-260.99843749999997,2.6430372908574677E-7
-7.105427357601003E-15,-277.428125,-260.99843749999997,3.789286356959364E-7
